Title,Year,Certificate,Rating
Avengers: Endgame,1995.0,UA,8.4
Not Another Church Movie,1995.0,R,3.0
Mad Max 2,1995.0,UA,7.6
The Boys in the Boat,1995.0,PG-13,6.9
The Land That Time Forgot,1995.0,U,5.6
Aliens,1995.0,U,8.4
Jurassic Park,1995.0,UA,8.2
Gone Girl,1995.0,A,8.1
Watchmen,1995.0,A,7.6
One Life,1995.0,PG,7.5
Heat,1995.0,A,8.3
The Matrix Resurrections,1995.0,A,5.7
Masterminds,1995.0,16,5.8
Le Cinquième Élément,1995.0,U,7.6
Saving Private Ryan,1995.0,A,8.6
Goodfellas,1995.0,A,8.7
The Notebook,1995.0,A,7.8
Léon,1995.0,A,8.5
No Country for Old Men,1995.0,18,8.2
Steel Magnolias,1995.0,U,7.3
Ford v Ferrari,1995.0,UA,8.1
The Departed,1995.0,A,8.5
Culpa mía,1995.0,A,6.2
Ordinary Angels,1995.0,PG,7.4
Whiplash,1995.0,A,8.5
The Big Lebowski,2022.0,UA,8.1
Apocalypse Now,2022.0,R,8.4
The Usual Suspects,2022.0,A,8.5
Mortal Kombat,2022.0,A,6.0
Scoop,2022.0,none,6.5
Megan Is Missing,2022.0,none,4.6
Top Gun,2022.0,U,6.9
Baby Driver,2022.0,UA,7.5
Spaceman,2022.0,R,5.7
Braveheart,2022.0,A,8.3
Requiem for a Dream,2022.0,A,8.3
Hellboy,2022.0,R,5.3
La La Land,2022.0,A,8.0
Twilight,2022.0,UA,5.3
Dead Poets Society,2022.0,U,8.1
Star Wars: Episode VIII - The Last Jedi,2022.0,UA,6.9
Mean Girls,2022.0,A,7.1
No Time to Die,2022.0,UA,7.3
Guardians of the Galaxy Vol. 3,2022.0,UA,7.9
Family Star,2022.0,none,5.1
Gummo,2022.0,A,6.6
Men,2022.0,A,6.1
The Strangers,2022.0,R,6.1
Ex Machina,2022.0,UA,7.7
The Maze Runner,2022.0,UA,6.8
You Should Have Left,2022.0,R,5.4
Shrek,2022.0,U,7.9
Cash Out,2022.0,R,4.6
The Killing of a Sacred Deer,2022.0,18,7.0
Nope,2022.0,A,6.8
The Hateful Eight,2022.0,A,7.8
The Devil Wears Prada,2022.0,UA,6.9
The Princess Bride,2022.0,U,8.0
Django Unchained,2022.0,A,8.5
Srpski film,2022.0,A,5.0
Hacksaw Ridge,2022.0,A,8.1
The Creator,2022.0,PG-13,6.7
Pride & Prejudice,2022.0,U,7.8
Babylon,2022.0,18,7.1
Farming,2022.0,R,6.2
Pretty in Pink,2022.0,UA,6.7
X-Men Origins: Wolverine,2022.0,UA,6.5
John Wick,2022.0,A,7.4
Kill Bill: Vol. 1,2022.0,A,8.2
28 Days Later...,2022.0,A,7.5
Pirates of the Caribbean: The Curse of the Black Pearl,1997.0,UA,8.1
Mandy,1997.0,Not Rated,6.5
A Quiet Place,1997.0,A,7.5
Five Nights at Freddy's,1997.0,PG-13,5.5
Hidden,1997.0,R,6.4
Back to the Future,1997.0,U,8.5
Expend4bles,1997.0,R,4.8
Star Trek,1997.0,UA,7.9
The Dark Knight Rises,1997.0,UA,8.4
Anna,1997.0,A,6.6
The Prestige,1997.0,U,8.5
365 dni,1997.0,A,3.3
Get Out,1997.0,15+,7.8
Ferrari,1997.0,R,6.5
Baghead,1997.0,none,5.4
X-Men,1997.0,UA,7.3
Call Me by Your Name,1997.0,UA,7.8
Little Women,1997.0,U,7.8
Reptile,1997.0,R,6.8
Hereditary,1997.0,A,7.3
The American Society of Magical Negroes,1997.0,PG-13,3.1
Jeanne du Barry,1997.0,none,6.7
It,1997.0,A,7.3
The Dreamers,1997.0,A,7.1
Logan,1997.0,A,8.1
Amar Singh Chamkila,1997.0,UA 16+,8.0
The Super Mario Bros. Movie,1997.0,U,7.0
12 Angry Men,1997.0,U,9.0
Shahr zii aleasal,1997.0,none,5.1
"Crazy, Stupid, Love.",1997.0,A,7.4
Shiti Hanta,1997.0,none,6.4
Dazed and Confused,1997.0,U,7.6
The Magnificent Seven,1997.0,UA,6.9
L.A. Confidential,1997.0,A,8.2
Winnie-the-Pooh: Blood and Honey 2,1997.0,none,5.2
The Menu,1997.0,A,7.2
Rush,1997.0,R,8.1
The Covenant,1997.0,R,7.5
Drive,1997.0,A,7.8
Avatar: The Way of Water,1997.0,UA,7.5
Amadeus,1997.0,R,8.4
The Terminator,1997.0,A,8.1
Beneath the Planet of the Apes,1997.0,U,6.0
Boogie Nights,1997.0,18,7.9
Dungeons & Dragons: Honor Among Thieves,1997.0,UA,7.2
The Blue Lagoon,1997.0,UA,5.8
Bridge to Terabithia,1997.0,U,7.2
The Big Trail,1997.0,none,7.2
Prisoners,1997.0,A,8.2
Sicario,2023.0,A,7.7
The Contestant,2023.0,none,7.2
American Psycho,2023.0,A,7.6
The Gray Man,2023.0,UA 16+,6.5
Fall,2023.0,PG-13,6.4
From Dusk Till Dawn,2023.0,A,7.2
Cinderella,2023.0,UA 7+,4.4
The Godfather Part II,2023.0,A,9.0
Prometheus,2023.0,A,7.0
Firebrand,2023.0,none,6.5
Free Guy,2023.0,UA,7.1
Eternal Sunshine of the Spotless Mind,2023.0,UA,8.3
The Dry,2023.0,R,6.9
One Day,2023.0,A,7.0
Love & Other Drugs,2023.0,UA,6.7
"Girl, Interrupted",2023.0,UA,7.3
Godzilla vs. Kong,2023.0,UA,6.3
Asteroid City,2023.0,PG-13,6.5
The Lion King,2023.0,U,8.5
Oldeuboi,2023.0,A,8.3
Don't Worry Darling,2023.0,A,6.3
Lift,2023.0,PG-13,5.5
Beetlejuice,2023.0,UA,7.5
Pitch Perfect,2023.0,U,7.1
Night Swim,2023.0,PG-13,4.7
Cars,2023.0,U,7.2
Arrival,2023.0,UA,7.9
Justice League: Crisis on Infinite Earths - Part Two,2023.0,PG-13,5.5
Shutter Island,2023.0,A,8.2
Tombstone,2023.0,UA,7.8
Upgraded,2023.0,R,6.1
Kimitachi wa dô ikiru ka,2023.0,UA,7.6
