movie_id,actor_id
564,391
565,106
566,52
567,392
568,393
569,394
570,16
571,395
572,396
573,397
574,398
575,399
576,400
577,6
578,214
579,242
580,401
581,164
582,402
583,357
584,403
585,178
586,404
587,320
588,405
589,101
590,406
591,407
592,408
593,409
594,410
595,411
596,412
597,413
598,414
599,415
600,285
601,392
602,416
603,178
604,112
605,417
606,192
607,22
608,115
609,98
610,259
611,26
612,418
613,172
614,419
615,118
616,249
617,106
618,224
619,216
620,420
621,146
622,421
623,422
624,423
625,424
626,425
627,426
628,427
629,428
630,78
631,429
632,430
633,252
634,431
635,432
636,7
637,433
638,434
639,107
640,435
641,172
642,328
643,210
644,322
645,436
646,437
647,306
648,438
649,439
650,89
651,186
652,4
653,440
654,27
655,276
656,441
657,6
658,78
659,442
660,98
661,142
662,443
663,444
664,445
665,446
666,104
667,157
668,447
669,448
670,449
671,36
672,450
673,451
674,177
675,28
676,452
677,43
678,453
679,454
680,455
681,196
682,456
683,376
684,457
685,458
686,459
687,460
688,461
689,462
690,463
691,371
692,464
693,465
694,73
695,21
696,466
697,28
698,467
699,356
700,78
701,191
702,216
703,468
704,101
705,469
706,470
707,71
708,471
709,472
710,437
711,9
712,473
713,474
714,475
715,476
716,477
717,478
718,242
719,479
720,43
721,267
722,106
723,480
724,481
725,432
726,482
727,483
728,43
729,464
730,484
731,269
732,126
733,24
734,252
735,485
736,212
737,27
738,486
739,384
740,487
741,215
742,488
743,142
744,141
745,238
746,489
747,328
748,490
749,78
750,491
751,71
752,492
753,305
754,429
755,493
756,494
757,495
758,496
759,497
760,498
761,329
762,499
763,500
764,210
765,468
766,501
767,502
768,503
769,178
770,504
771,505
772,115
773,506
774,507
775,508
776,509
777,27
778,388
779,510
780,322
781,511
782,201
783,27
784,512
785,513
786,415
787,382
788,514
789,515
790,78
791,516
792,178
793,517
794,195
795,518
796,519
797,520
798,521
799,522
800,523
801,164
802,254
803,242
804,524
805,196
806,525
807,27
808,526
809,527
810,528
811,148
812,529
813,89
814,530
815,531
816,532
817,533
818,534
819,437
820,129
821,202
822,535
823,536
824,371
825,423
826,537
827,538
828,142
829,539
830,416
831,540
832,207
833,541
834,468
835,107
836,542
837,415
838,146
839,543
840,544
841,545
842,546
843,547
844,548
845,106
846,401
847,549
848,375
849,444
850,78
851,4
852,118
853,550
854,27
855,274
856,551
857,9
858,104
859,552
860,553
861,89
862,195
863,415
864,554
865,202
866,555
867,484
868,556
869,32
870,557
871,558
872,384
873,378
874,156
875,215
876,559
877,560
878,174
879,426
880,561
881,562
882,563
883,175
884,564
885,565
886,448
887,548
888,566
889,567
890,71
891,451
892,568
893,569
894,570
895,200
896,571
897,78
898,238
899,156
900,572
901,573
902,101
903,574
904,575
905,146
906,576
907,577
908,78
909,578
910,579
911,580
912,581
913,94
914,582
915,583
916,584
917,585
918,31
919,586
920,207
921,52
922,587
923,371
924,588
925,589
926,101
927,177
928,590
929,37
930,290
931,591
932,592
933,593
934,594
935,595
936,312
937,596
938,15
939,597
940,178
941,598
942,42
943,599
944,600
945,601
946,602
947,105
948,352
949,603
950,232
951,604
952,196
953,605
954,606
955,607
956,144
957,608
958,609
959,89
960,610
961,611
962,612
963,613
964,614
965,27
966,615
967,616
968,617
969,618
970,619
971,620
972,621
973,622
974,623
975,624
976,321
977,33
978,625
979,353
980,42
981,626
982,25
983,269
984,627
985,172
986,628
987,629
988,242
989,253
990,516
991,630
992,631
993,426
994,32
995,632
996,101
997,196
998,142
999,274
1000,633
1001,71
1002,634
